"detail_info" "mean" "std" "samplesize" "detectionfreq"
"120" "0_P_D_EColi0157Culturable_MPNPer100ml_30_60" NA NA "516" "3/516"
"121" "0_P_D_EColiCulturableColilert_MPNPer100ML_0_30" "81.2166666666667" "37.8053106739188" "528" "12/528"
"122" "0_P_D_EColiCulturableColilert_MPNPer100ML_30_60" "67.6611111111111" "31.3305739033154" "537" "9/537"
"123" "0_P_D_enterococciCulturableMEI_CFUPer100ML_0_30" "36911.1111108333" "23972.1611832435" "549" "12/549"
"124" "0_P_D_enterococciCulturableMEI_CFUPer100ML_30_60" "26975.9259255556" "17424.2230642479" "558" "9/558"
"125" "0_P_D_Giardia_CystsPer100ml_0_30" NA NA "558" "9/558"
"126" "0_P_D_Giardia_CystsPer100ml_30_60" NA NA "558" "9/558"
"127" "0_P_D_SalmonellaCulturableWildType_MPNPer100ml_0_30" "6668.66666666667" "11545.2733329849" "561" "1/561"
"128" "0_P_D_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "564" "0/564"
"129" "0_S_A_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "566" "0/566"
"130" "0_S_A_CampylobacterCulturable_MPNPer100ml_30_60" "5.06666666666667" "3.57957166897568" "569" "1/569"
"131" "0_S_A_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "109.4" "195.846993849791" "574" "4/574"
"132" "0_S_A_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "148.233333333333" "112.451604405332" "577" "3/577"
"133" "0_S_A_Crypto_OocystsPer100ml_0_30" "3" "0" "579" "0/579"
"134" "0_S_A_Crypto_OocystsPer100ml_30_60" "2.33333333333333" "0.577350269189626" "582" "0/582"
"135" "0_S_A_EColi0157Culturable_MPNPer100ml_0_30" "3.5" "0.707106781186548" "584" "1/584"
"136" "0_S_A_EColi0157Culturable_MPNPer100ml_30_60" "3" "0" "587" "0/587"
"137" "0_S_A_EColiCulturableColilert_MPNPer100ML_0_30" "186.2875" "243.565118529492" "595" "8/595"
"138" "0_S_A_EColiCulturableColilert_MPNPer100ML_30_60" "96.6791666625" "103.150877223668" "603" "8/603"
"139" "0_S_A_enterococciCulturableMEI_CFUPer100ML_0_30" "1506.25" "1400.62167319679" "611" "8/611"
"140" "0_S_A_enterococciCulturableMEI_CFUPer100ML_30_60" "1412.5" "1603.95716009767" "619" "8/619"
"141" "0_S_A_Giardia_CystsPer100ml_0_30" "2.6" "0.14142135623731" "621" "0/621"
"142" "0_S_A_Giardia_CystsPer100ml_30_60" "2.4" "0.3" "624" "0/624"
"143" "0_S_A_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "626" "0/626"
"144" "0_S_A_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "629" "0/629"
"145" "0_S_B_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "632" "0/632"
"146" "0_S_B_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "635" "0/635"
"147" "0_S_B_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "1194.33333333333" "1030.18865586196" "641" "6/641"
"148" "0_S_B_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "720" "395.093659782083" "644" "3/644"
"149" "0_S_B_Crypto_OocystsPer100ml_0_30" "33847.9353333333" "30145.0775685442" "647" "3/647"
"150" "0_S_B_Crypto_OocystsPer100ml_30_60" "20208.3333333333" "9449.15119644793" "650" "3/650"
"151" "0_S_B_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "653" "0/653"
"152" "0_S_B_EColi0157Culturable_MPNPer100ml_30_60" "4" "1.73205080756888" "656" "1/656"
"153" "0_S_B_EColiCulturableColilert_MPNPer100ML_0_30" "45.5111111111111" "81.6032083383436" "665" "3/665"
"154" "0_S_B_EColiCulturableColilert_MPNPer100ML_30_60" "50.2222222222222" "102.074467642229" "674" "3/674"
"155" "0_S_B_enterococciCulturableMEI_CFUPer100ML_0_30" "100.222222222222" "111.271377471677" "683" "5/683"
"156" "0_S_B_enterococciCulturableMEI_CFUPer100ML_30_60" "104.055555555556" "112.348632736575" "692" "6/692"
"157" "0_S_B_Giardia_CystsPer100ml_0_30" "104.125436666667" "104.745393851339" "695" "3/695"
"158" "0_S_B_Giardia_CystsPer100ml_30_60" "383.125" "561.33873185003" "698" "3/698"
"159" "0_S_B_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "701" "0/701"
"160" "0_S_B_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "704" "0/704"
"161" "0_S_C_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "707" "0/707"
"162" "0_S_C_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "710" "0/710"
"163" "0_S_C_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "353.833333333333" "347.275347047075" "716" "6/716"
"164" "0_S_C_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "416.666666666667" "462.853468533329" "719" "3/719"
"165" "0_S_C_Crypto_OocystsPer100ml_0_30" "7970.95066666667" "7650.87655928877" "722" "3/722"
"166" "0_S_C_Crypto_OocystsPer100ml_30_60" "7213.53466666667" "6699.96028724248" "725" "3/725"
"167" "0_S_C_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "728" "0/728"
"168" "0_S_C_EColi0157Culturable_MPNPer100ml_30_60" "5.06666666666667" "3.57957166897568" "731" "1/731"
"169" "0_S_C_EColiCulturableColilert_MPNPer100ML_0_30" "1682.08333333333" "1426.78191353405" "743" "12/743"
"170" "0_S_C_EColiCulturableColilert_MPNPer100ML_30_60" "1457.40740741111" "1233.16499726891" "752" "8/752"
"171" "0_S_C_enterococciCulturableMEI_CFUPer100ML_0_30" "30647.2222225" "19820.8361865151" "764" "12/764"
"172" "0_S_C_enterococciCulturableMEI_CFUPer100ML_30_60" "23088.8888896667" "27578.9598744548" "773" "9/773"
"173" "0_S_C_Giardia_CystsPer100ml_0_30" "1056.044724" "1587.78407020613" "776" "2/776"
"174" "0_S_C_Giardia_CystsPer100ml_30_60" "841.379224953333" "725.603954882674" "779" "3/779"
"175" "0_S_C_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3.2" "0.346410161513776" "782" "1/782"
"176" "0_S_C_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3.2" "0.346410161513776" "785" "1/785"
"177" "0_S_D_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "788" "0/788"
"178" "0_S_D_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "791" "0/791"
"179" "0_S_D_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "502.721666666667" "551.480901189394" "797" "6/797"
"180" "0_S_D_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "550.443333333333" "347.678987765055" "800" "3/800"
"181" "0_S_D_Crypto_OocystsPer100ml_0_30" "2244560.36666667" "2338240.33621874" "803" "3/803"
"182" "0_S_D_Crypto_OocystsPer100ml_30_60" "1488943.53333333" "1340445.0864147" "806" "3/806"
"183" "0_S_D_EColi0157Culturable_MPNPer100ml_0_30" "50076.6666666667" "86536.1972433116" "809" "3/809"
"184" "0_S_D_EColi0157Culturable_MPNPer100ml_30_60" "447.666666666667" "454.495691215366" "812" "3/812"
"185" "0_S_D_EColiCulturableColilert_MPNPer100ML_0_30" "1117.16666666667" "1129.13163201827" "824" "12/824"
"186" "0_S_D_EColiCulturableColilert_MPNPer100ML_30_60" "801.277777744444" "593.592780289474" "833" "9/833"
"187" "0_S_D_enterococciCulturableMEI_CFUPer100ML_0_30" "17245.8333333333" "9030.01203898657" "845" "12/845"
"188" "0_S_D_enterococciCulturableMEI_CFUPer100ML_30_60" "13324.0740744444" "7391.49337976895" "854" "9/854"
"189" "0_S_D_Giardia_CystsPer100ml_0_30" "13684.0333333333" "13023.9089678688" "857" "3/857"
"190" "0_S_D_Giardia_CystsPer100ml_30_60" "14337.5" "12415.8857416618" "860" "3/860"
"191" "0_S_D_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "863" "0/863"
"192" "0_S_D_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "866" "0/866"
"193" "0_X_A_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "868" "0/868"
"194" "0_X_A_CampylobacterCulturable_MPNPer100ml_30_60" "4.6" "2.26274169979695" "870" "1/870"
"195" "0_X_A_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "27.525" "35.6004096418379" "874" "3/874"
"196" "0_X_A_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "37" "0.424264068711924" "876" "2/876"
"197" "0_X_A_Crypto_OocystsPer100ml_0_30" "4.5" "3.53553390593274" "878" "0/878"
"198" "0_X_A_Crypto_OocystsPer100ml_30_60" "5" "2.82842712474619" "880" "0/880"
"199" "0_X_A_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "882" "0/882"
"200" "0_X_A_EColi0157Culturable_MPNPer100ml_30_60" "3" "0" "884" "0/884"
"201" "0_X_A_EColiCulturableColilert_MPNPer100ML_0_30" "13.8" "19.8070694450239" "890" "6/890"
"202" "0_X_A_EColiCulturableColilert_MPNPer100ML_30_60" "31.6833333333333" "28.5947839066265" "896" "5/896"
"203" "0_X_A_enterococciCulturableMEI_CFUPer100ML_0_30" "1108.33333333333" "691.676706754439" "902" "6/902"
"204" "0_X_A_enterococciCulturableMEI_CFUPer100ML_30_60" "1183.33333333333" "494.637914707988" "908" "6/908"
"205" "0_X_A_Giardia_CystsPer100ml_0_30" "4.55" "3.04055915910215" "910" "0/910"
"206" "0_X_A_Giardia_CystsPer100ml_30_60" "4.6" "2.9698484809835" "912" "0/912"
"207" "0_X_A_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "914" "0/914"
"208" "0_X_A_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "916" "0/916"
"209" "0_X_B_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "919" "0/919"
"210" "0_X_B_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "922" "0/922"
"211" "0_X_B_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "448.333333333333" "686.297797363992" "928" "6/928"
"212" "0_X_B_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "88.6666666666667" "69.8736955751829" "931" "3/931"
"213" "0_X_B_Crypto_OocystsPer100ml_0_30" "2.875" "4.87153723171649" "934" "0/934"
"214" "0_X_B_Crypto_OocystsPer100ml_30_60" "4.839" "8.30174608139758" "937" "0/937"
"215" "0_X_B_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "940" "0/940"
"216" "0_X_B_EColi0157Culturable_MPNPer100ml_30_60" "3" "0" "943" "0/943"
"217" "0_X_B_EColiCulturableColilert_MPNPer100ML_0_30" "111.377777777778" "170.521910452717" "952" "4/952"
"218" "0_X_B_EColiCulturableColilert_MPNPer100ML_30_60" "76.4925925888889" "116.667846151993" "961" "3/961"
"219" "0_X_B_enterococciCulturableMEI_CFUPer100ML_0_30" "14650.1111111111" "29018.6041152673" "970" "7/970"
"220" "0_X_B_enterococciCulturableMEI_CFUPer100ML_30_60" "11198.2222222222" "31728.6506194629" "979" "7/979"
"221" "0_X_B_Giardia_CystsPer100ml_0_30" "0.05" "0.0433012701892219" "982" "0/982"
