SampleID,RainfallTreatmentID,PlotID,StudyID,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,CummulativeRunoffVolumeSinceRunoffStarted_Liters
D-210-S-60,R_210_D,210,D,148,60,27.49
D-210-S-T1,R_210_D,210,D,153,60,27.49
D-210-S-T2,R_210_D,210,D,153,60,27.49
D-111-S-5,R_111_D,111,D,104,5,0.85
D-111-S-10,R_111_D,111,D,109,10,2.04
D-111-S-15,R_111_D,111,D,114,15,3.41
D-111-S-20,R_111_D,111,D,119,20,5.19
D-111-S-30,R_111_D,111,D,129,30,9.28
D-111-S-30-T1,R_111_D,111,D,134,30,9.28
D-111-S-30-T2,R_111_D,111,D,134,30,9.28
D-111-S-60,R_111_D,111,D,159,60,25.24
D-111-S-T1,R_111_D,111,D,164,60,25.24
D-111-S-T2,R_111_D,111,D,164,60,25.24
D-112-P-5,R_112_D,112,D,109,5,0.73
D-112-P-10,R_112_D,112,D,114,10,1.72
D-112-P-15,R_112_D,112,D,119,15,2.96
D-112-P-20,R_112_D,112,D,124,20,4.21
D-112-P-30,R_112_D,112,D,134,30,7.07
D-112-P-30-T1,R_112_D,112,D,139,30,7.07
D-112-P-30-T2,R_112_D,112,D,139,30,7.07
D-112-P-60,R_112_D,112,D,164,60,19.35
D-112-P-T1,R_112_D,112,D,169,60,19.35
D-112-P-T2,R_112_D,112,D,169,60,19.35
D-307-C-5,R_307_D,307,D,41,5,1.09
D-307-C-10,R_307_D,307,D,46,10,5.44
D-307-C-15,R_307_D,307,D,51,15,6.93
D-307-C-20,R_307_D,307,D,56,20,9.90
D-307-C-30,R_307_D,307,D,66,30,16.66
D-307-C-30-T1,R_307_D,307,D,71,30,16.66
D-307-C-30-T2,R_307_D,307,D,71,30,16.66
D-307-D-60,R_307_D,307,D,96,60,38.46
D-307-D-T1,R_307_D,307,D,101,60,38.46
D-307-D-T2,R_307_D,307,D,101,60,38.46
D-308-X-5,R_308_D,308,D,50,5,1.74
D-308-X-10,R_308_D,308,D,55,10,3.33
D-308-X-15,R_308_D,308,D,60,15,5.08
D-308-X-20,R_308_D,308,D,65,20,7.24
D-308-X-30,R_308_D,308,D,75,30,11.90
D-308-X-30-T1,R_308_D,308,D,80,30,11.90
D-308-X-30-T2,R_308_D,308,D,80,30,11.90
D-308-X-60,R_308_D,308,D,105,60,29.57
D-308-X-T1,R_308_D,308,D,110,60,29.57
D-308-X-T2,R_308_D,308,D,110,60,29.57
D-407-X-5,R_407_D,407,D,94,5,0.98
D-407-X-10,R_407_D,407,D,99,10,2.31
D-407-X-15,R_407_D,407,D,104,15,4.18
D-407-X-20,R_407_D,407,D,109,20,6.23
D-407-X-30,R_407_D,407,D,119,30,11.05
D-407-X-30-T1,R_407_D,407,D,124,30,11.05
D-407-X-30-T2,R_407_D,407,D,124,30,11.05
D-407-X-60,R_407_D,407,D,149,60,29.55
D-407-X-T1,R_407_D,407,D,154,60,29.55
D-407-X-T2,R_407_D,407,D,154,60,29.55
D-408-P-5,R_408_D,408,D,124,5,0.25
D-408-P-10,R_408_D,408,D,129,10,0.63
D-408-P-15,R_408_D,408,D,134,15,1.14
