SampleID,EColiCulturableColilert_MPNPer100ML,DetectionLevel,,,,,,,,,,,,,,,
A-412-C-5,470,WR,,,,,,,,,,,,,,,
A-412-C-60,2047.5,WR,,,,,,,,,,,,,,,
A-412-C-T1,661,WR,,,,,,,,,,,,,,,
A-501-X-10,4,WR,,,,,,,,,,,,,,,
A-501-X-20,100,WR,,,,,,,,,,,,,,,
A-501-X-30,8.2,WR,,,,,,,,,,,,,,,
A-501-X-5,0.5,BDL,,,,,,,,,,,,,,,
A-501-X-60,15,WR,,,,,,,,,,,,,,,
A-501-X-T1,56.3,WR,,,,,,,,,,,,,,,
A-502-S-10,14.6,WR,,,,,,,,,,,,,,,
A-502-S-20,12.6,WR,,,,,,,,,,,,,,,
A-502-S-30,52,WR,,,,,,,,,,,,,,,
A-502-S-5,80.06666667,WR,,,,,,,,,,,,,,,
A-502-S-60,32,WR,,,,,,,,,,,,,,,
A-502-S-T1,31.2,WR,,,,,,,,,,,,,,,
A-503-C-10,14820,WR,,,,,,,,,,,,,,,
A-503-C-20,15630,WR,,,,,,,,,,,,,,,
A-503-C-30,10730,WR,,,,,,,,,,,,,,,
A-503-C-5,16950,WR,,,,,,,,,,,,,,,
A-503-C-60,7830,WR,,,,,,,,,,,,,,,
A-503-C-T1,7165,WR,,,,,,,,,,,,,,,
A-504-X-10,4,WR,,,,,,,,,,,,,,,
A-504-X-20,12.6,WR,,,,,,,,,,,,,,,
A-504-X-30,233,WR,,,,,,,,,,,,,,,
A-504-X-5,12.6,WR,,,,,,,,,,,,,,,
A-504-X-60,26.2,WR,,,,,,,,,,,,,,,
A-504-X-T1,133.2,WR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
