SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRunoffStarted_Minutes,Notes
D-408-P-10,408,D,1,R_408_D,M_P_Day3_D_Spiked,375,10,
D-408-P-15,408,D,1,R_408_D,M_P_Day3_D_Spiked,513,15,
D-408-P-20,408,D,1,R_408_D,M_P_Day3_D_Spiked,448,20,
D-408-P-30,408,D,1,R_408_D,M_P_Day3_D_Spiked,489,30,
D-408-P-30-T1,408,D,2,R_408_D,M_P_Day3_D_Spiked,431,30,
D-408-P-30-T2,408,D,2,R_408_D,M_P_Day3_D_Spiked,0,30,
D-408-P-60,408,D,1,R_408_D,M_P_Day3_D_Spiked,454,60,
D-408-P-T1,408,D,2,R_408_D,M_P_Day3_D_Spiked,522,60,
D-408-P-T2,408,D,2,R_408_D,M_P_Day3_D_Spiked,7062,60,
D-106-P-5,106,D,1,R_106_D,M_P_Day1_D_Spiked,467,5,
D-106-P-10,106,D,1,R_106_D,M_P_Day1_D_Spiked,439,10,
D-106-P-15,106,D,1,R_106_D,M_P_Day1_D_Spiked,925,15,
D-106-P-20,106,D,1,R_106_D,M_P_Day1_D_Spiked,486,20,
D-106-P-30,106,D,1,R_106_D,M_P_Day1_D_Spiked,463,30,
D-106-P-30-T1,106,D,2,R_106_D,M_P_Day1_D_Spiked,418,30,
D-106-P-30-T2,106,D,2,R_106_D,M_P_Day1_D_Spiked,8562,30,
D-106-P-60,106,D,1,R_106_D,M_P_Day1_D_Spiked,444,60,
D-106-P-T1,106,D,2,R_106_D,M_P_Day1_D_Spiked,462,60,
D-106-P-T2,106,D,2,R_106_D,M_P_Day1_D_Spiked,10362,60,
D-105-X-5,105,D,1,R_105_D,M_X_Day1_D,428,5,
D-105-X-10,105,D,1,R_105_D,M_X_Day1_D,445,10,
D-105-X-15,105,D,1,R_105_D,M_X_Day1_D,941,15,
D-105-X-20,105,D,1,R_105_D,M_X_Day1_D,440,20,
D-105-X-30,105,D,1,R_105_D,M_X_Day1_D,492,30,
D-105-X-30-T1,105,D,2,R_105_D,M_X_Day1_D,488,30,
D-105-X-30-T2,105,D,2,R_105_D,M_X_Day1_D,9962,30,
D-105-X-60,105,D,1,R_105_D,M_X_Day1_D,435,60,
D-105-X-T1,105,D,2,R_105_D,M_X_Day1_D,514,60,
D-105-X-T2,105,D,2,R_105_D,M_X_Day1_D,9862,60,
D-503-C-5,503,D,1,R_503_D,M_C_Day1_D_Spiked,607,5,
D-503-C-10,503,D,1,R_503_D,M_C_Day1_D_Spiked,595,10,
D-503-C-15,503,D,1,R_503_D,M_C_Day1_D_Spiked,987,15,
D-503-C-20,503,D,1,R_503_D,M_C_Day1_D_Spiked,628,20,
D-503-C-30,503,D,1,R_503_D,M_C_Day1_D_Spiked,621,30,
D-503-C-30-T1,503,D,2,R_503_D,M_C_Day1_D_Spiked,644,30,
D-503-C-30-T2,503,D,2,R_503_D,M_C_Day1_D_Spiked,4762,30,
D-503-C-60,503,D,1,R_503_D,M_C_Day1_D_Spiked,664,60,
D-503-C-T1,503,D,2,R_503_D,M_C_Day1_D_Spiked,577,60,
D-503-C-T2,503,D,2,R_503_D,M_C_Day1_D_Spiked,10162,60,
D-504-X-5,504,D,1,R_504_D,M_X_Day1_D,478,5,
D-504-X-10,504,D,1,R_504_D,M_X_Day1_D,515,10,
D-504-X-15,504,D,1,R_504_D,M_X_Day1_D,964,15,
D-504-X-20,504,D,1,R_504_D,M_X_Day1_D,591,20,
D-504-X-30,504,D,1,R_504_D,M_X_Day1_D,450,30,
D-504-X-30-T1,504,D,2,R_504_D,M_X_Day1_D,632,30,
D-504-X-30-T2,504,D,2,R_504_D,M_X_Day1_D,10362,30,
D-504-X-60,504,D,1,R_504_D,M_X_Day1_D,518,60,
D-504-X-T1,504,D,2,R_504_D,M_X_Day1_D,551,60,
D-504-X-T2,504,D,2,R_504_D,M_X_Day1_D,10562,60,
D-401-S-5,401,D,1,R_401_D,M_S_Day2_D_Spiked,510,5,
D-401-S-10,401,D,1,R_401_D,M_S_Day2_D_Spiked,498,10,
D-401-S-15,401,D,1,R_401_D,M_S_Day2_D_Spiked,975,15,
D-401-S-20,401,D,1,R_401_D,M_S_Day2_D_Spiked,452,20,
D-401-S-30,401,D,1,R_401_D,M_S_Day2_D_Spiked,468,30,
D-401-S-30-T1,401,D,2,R_401_D,M_S_Day2_D_Spiked,484,30,
D-401-S-30-T2,401,D,2,R_401_D,M_S_Day2_D_Spiked,10062,30,
D-401-S-60,401,D,1,R_401_D,M_S_Day2_D_Spiked,444,60,
D-401-S-T1,401,D,2,R_401_D,M_S_Day2_D_Spiked,518,60,
D-401-S-T2,401,D,2,R_401_D,M_S_Day2_D_Spiked,10162,60,
D-402-X-5,402,D,1,R_402_D,M_X_Day2_D,457,5,
D-402-X-10,402,D,1,R_402_D,M_X_Day2_D,482,10,
D-402-X-15,402,D,1,R_402_D,M_X_Day2_D,933,15,
D-402-X-20,402,D,1,R_402_D,M_X_Day2_D,454,20,
D-402-X-30,402,D,1,R_402_D,M_X_Day2_D,442,30,
D-402-X-30-T1,402,D,2,R_402_D,M_X_Day2_D,512,30,
D-402-X-30-T2,402,D,2,R_402_D,M_X_Day2_D,10262,30,
D-402-X-60,402,D,1,R_402_D,M_X_Day2_D,486,60,
D-402-X-T1,402,D,2,R_402_D,M_X_Day2_D,552,60,
D-402-X-T2,402,D,2,R_402_D,M_X_Day2_D,10462,60,
D-201-P-5,201,D,1,R_201_D,M_P_Day2_D_Spiked,419,5,
