SampleID,RainfallTreatmentID,PlotID,StudyID,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,CummulativeRunoffVolumeSinceRunoffStarted_Liters
C-308-X-20,R_308_C,308,C,115,20,5.29
C-308-X-30,R_308_C,308,C,125,30,9.20
C-308-X-30-T1,R_308_C,308,C,130,30,9.20
C-308-X-30-T2,R_308_C,308,C,130,30,9.20
C-308-X-60,R_308_C,308,C,155,60,22.65
C-308-X-T1,R_308_C,308,C,160,60,22.65
C-308-X-T2,R_308_C,308,C,160,60,22.65
C-407-X-5,R_407_C,407,C,145,5,0.48
C-407-X-10,R_407_C,407,C,150,10,1.16
C-407-X-15,R_407_C,407,C,155,15,2.07
C-407-X-20,R_407_C,407,C,160,20,3.12
C-407-X-30,R_407_C,407,C,170,30,4.42
C-407-X-30-T1,R_407_C,407,C,175,30,4.42
C-407-X-30-T2,R_407_C,407,C,175,30,4.42
C-407-X-60,R_407_C,407,C,200,60,18.80
C-407-X-T1,R_407_C,407,C,205,60,18.80
C-407-X-T2,R_407_C,407,C,205,60,18.80
C-408-P-5,R_408_C,408,C,151,5,0.63
C-408-P-10,R_408_C,408,C,156,10,1.42
C-408-P-15,R_408_C,408,C,161,15,2.37
C-408-P-20,R_408_C,408,C,166,20,3.55
C-408-P-30,R_408_C,408,C,176,30,6.65
C-408-P-30-T1,R_408_C,408,C,181,30,6.65
C-408-P-30-T2,R_408_C,408,C,181,30,6.65
C-408-P-60,R_408_C,408,C,206,60,20.98
C-408-P-T1,R_408_C,408,C,211,60,20.98
C-408-P-T2,R_408_C,408,C,211,60,20.98
C-106-P-5,R_106_C,106,C,146,5,0.36
C-106-P-10,R_106_C,106,C,151,10,0.70
C-106-P-15,R_106_C,106,C,156,15,1.08
C-106-P-20,R_106_C,106,C,161,20,1.69
C-106-P-30,R_106_C,106,C,171,30,3.09
C-106-P-30-T1,R_106_C,106,C,176,30,3.09
C-106-P-30-T2,R_106_C,106,C,176,30,3.09
C-106-P-60,R_106_C,106,C,201,60,7.85
C-106-P-T1,R_106_C,106,C,206,60,7.85
C-106-P-T2,R_106_C,106,C,206,60,7.85
C-105-X-5,R_105_C,105,C,93,5,0.62
C-105-X-10,R_105_C,105,C,98,10,1.38
C-105-X-15,R_105_C,105,C,103,15,2.34
C-105-X-20,R_105_C,105,C,108,20,3.73
C-105-X-30,R_105_C,105,C,118,30,7.62
C-105-X-30-T1,R_105_C,105,C,123,30,7.62
C-105-X-30-T2,R_105_C,105,C,123,30,7.62
C-105-X-60,R_105_C,105,C,148,60,26.01
C-105-X-T1,R_105_C,105,C,153,60,26.01
C-105-X-T2,R_105_C,105,C,153,60,26.01
C-503-C-5,R_503_C,503,C,126,5,1.38
C-503-C-10,R_503_C,503,C,131,10,2.68
C-503-C-15,R_503_C,503,C,136,15,3.75
C-503-C-20,R_503_C,503,C,141,20,5.25
C-503-C-30,R_503_C,503,C,151,30,8.38
C-503-C-30-T1,R_503_C,503,C,156,30,8.38
C-503-C-30-T2,R_503_C,503,C,156,30,8.38
C-503-C-60,R_503_C,503,C,181,60,18.64
C-503-C-T1,R_503_C,503,C,186,60,18.64
C-503-C-T2,R_503_C,503,C,186,60,18.64
C-504-X-5,R_504_C,504,C,68,5,0.97
C-504-X-10,R_504_C,504,C,73,10,3.21
C-504-X-15,R_504_C,504,C,78,15,6.25
C-504-X-20,R_504_C,504,C,83,20,10.19
C-504-X-30,R_504_C,504,C,93,30,19.63
C-504-X-30-T1,R_504_C,504,C,98,30,19.63
C-504-X-30-T2,R_504_C,504,C,98,30,19.63
C-504-X-60,R_504_C,504,C,123,60,50.84
C-504-X-T1,R_504_C,504,C,128,60,50.84
C-504-X-T2,R_504_C,504,C,128,60,50.84
C-401-S-5,R_401_C,401,C,93,5,1.47
C-401-S-10,R_401_C,401,C,98,10,3.86
C-401-S-15,R_401_C,401,C,103,15,6.88
C-401-S-20,R_401_C,401,C,108,20,10.19
C-401-S-30,R_401_C,401,C,118,30,17.77
C-401-S-30-T1,R_401_C,401,C,123,30,17.77
C-401-S-30-T2,R_401_C,401,C,123,30,17.77
C-401-S-60,R_401_C,401,C,148,60,43.88
C-401-S-T1,R_401_C,401,C,153,60,43.88
C-401-S-T2,R_401_C,401,C,153,60,43.88
C-402-X-5,R_402_C,402,C,97,5,1.19
C-402-X-10,R_402_C,402,C,102,10,3.10
C-402-X-15,R_402_C,402,C,107,15,5.47
C-402-X-20,R_402_C,402,C,112,20,8.30
C-402-X-30,R_402_C,402,C,122,30,14.84
C-402-X-30-T1,R_402_C,402,C,127,30,14.84
C-402-X-30-T2,R_402_C,402,C,127,30,14.84
C-402-X-60,R_402_C,402,C,152,60,37.90
C-402-X-T1,R_402_C,402,C,157,60,37.90
C-402-X-T2,R_402_C,402,C,157,60,37.90
C-201-P-5,R_201_C,201,C,88,5,0.64
C-201-P-10,R_201_C,201,C,93,10,1.54
C-201-P-15,R_201_C,201,C,98,15,2.61
C-201-P-20,R_201_C,201,C,103,20,3.81
C-201-P-30,R_201_C,201,C,113,30,6.56
C-201-P-30-T1,R_201_C,201,C,118,30,6.56
C-201-P-30-T2,R_201_C,201,C,118,30,6.56
C-201-P-60,R_201_C,201,C,148,60,18.59
C-201-P-T1,R_201_C,201,C,148,60,18.59
C-201-P-T2,R_201_C,201,C,148,60,18.59
C-202-S-5,R_202_C,202,C,165,5,0.69
C-202-S-10,R_202_C,202,C,170,10,1.59
C-202-S-15,R_202_C,202,C,175,15,2.49
C-202-S-20,R_202_C,202,C,180,20,3.66
C-202-S-30,R_202_C,202,C,190,30,6.27
C-202-S-30-T1,R_202_C,202,C,195,30,6.27
C-202-S-30-T2,R_202_C,202,C,195,30,6.27
C-202-S-60,R_202_C,202,C,220,60,15.78
C-202-S-T1,R_202_C,202,C,225,60,15.78
C-202-S-T2,R_202_C,202,C,225,60,15.78
C-403-C-5,R_403_C,403,C,212,5,1.29
C-403-C-10,R_403_C,403,C,217,10,2.12
C-403-C-15,R_403_C,403,C,222,15,3.08
C-403-C-20,R_403_C,403,C,227,20,4.06
C-403-C-30,R_403_C,403,C,237,30,6.53
C-403-C-30-T1,R_403_C,403,C,242,30,6.53
C-403-C-30-T2,R_403_C,403,C,242,30,6.53
C-403-C-60,R_403_C,403,C,267,60,16.70
C-403-C-T1,R_403_C,403,C,272,60,16.70
C-403-C-T2,R_403_C,403,C,272,60,16.70
C-404-P-5,R_404_C,404,C,155,5,0.93
C-404-P-10,R_404_C,404,C,160,10,2.11
C-404-P-15,R_404_C,404,C,165,15,3.49
C-404-P-20,R_404_C,404,C,170,20,5.23
C-404-P-30,R_404_C,404,C,180,30,9.20
C-404-P-30-T1,R_404_C,404,C,185,30,9.20
C-404-P-30-T2,R_404_C,404,C,185,30,9.20
C-404-P-60,R_404_C,404,C,210,60,24.60
C-404-P-T1,R_404_C,404,C,215,60,24.60
C-404-P-T2,R_404_C,404,C,215,60,24.60
C-409-C-5,R_409_C,409,C,136,5,0.76
C-409-C-10,R_409_C,409,C,141,10,1.90
C-409-C-15,R_409_C,409,C,146,15,3.43
C-409-C-20,R_409_C,409,C,151,20,5.33
C-409-C-30,R_409_C,409,C,161,30,9.72
C-409-C-30-T1,R_409_C,409,C,166,30,9.72
C-409-C-30-T2,R_409_C,409,C,166,30,9.72
C-409-C-60,R_409_C,409,C,191,60,29.31
C-409-C-T1,R_409_C,409,C,196,60,29.31
C-409-C-T2,R_409_C,409,C,196,60,29.31
C-410-S-5,R_410_C,410,C,152,5,0.96
C-410-S-10,R_410_C,410,C,157,10,3.52
C-410-S-15,R_410_C,410,C,162,15,5.24
C-410-S-20,R_410_C,410,C,167,20,7.38
C-410-S-30,R_410_C,410,C,177,30,12.14
C-410-S-30-T1,R_410_C,410,C,182,30,12.14
C-410-S-30-T2,R_410_C,410,C,182,30,12.14
C-410-S-60,R_410_C,410,C,207,60,29.06
C-410-S-T1,R_410_C,410,C,212,60,29.06
C-410-S-T2,R_410_C,410,C,212,60,29.06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
