SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,Notes
C-108-P-5,108,C,1,R_108_C,M_P_Day1_C_Spiked,354,150,5,
C-108-P-10,108,C,1,R_108_C,M_P_Day1_C_Spiked,309,155,10,
C-108-P-15,108,C,1,R_108_C,M_P_Day1_C_Spiked,757,160,15,
C-108-P-20,108,C,1,R_108_C,M_P_Day1_C_Spiked,356,165,20,
C-108-P-30,108,C,1,R_108_C,M_P_Day1_C_Spiked,319,175,30,
C-108-P-30-T1,108,C,2,R_108_C,M_P_Day1_C_Spiked,340,180,30,
C-108-P-30-T2,108,C,2,R_108_C,M_P_Day1_C_Spiked,1162,180,30,
C-108-P-60,108,C,1,R_108_C,M_P_Day1_C_Spiked,526,205,60,
C-108-P-T1,108,C,2,R_108_C,M_P_Day1_C_Spiked,556,210,60,
C-108-P-T2,108,C,2,R_108_C,M_P_Day1_C_Spiked,4462,210,60,
C-209-C-5,209,C,1,R_209_C,M_C_Day2_C_Spiked,606,139,5,
C-209-C-10,209,C,1,R_209_C,M_C_Day2_C_Spiked,560,144,10,
C-209-C-15,209,C,1,R_209_C,M_C_Day2_C_Spiked,950,149,15,
C-209-C-20,209,C,1,R_209_C,M_C_Day2_C_Spiked,504,154,20,
C-209-C-30,209,C,1,R_209_C,M_C_Day2_C_Spiked,487,164,30,
C-209-C-30-T1,209,C,2,R_209_C,M_C_Day2_C_Spiked,516,169,30,
C-209-C-30-T2,209,C,2,R_209_C,M_C_Day2_C_Spiked,2062,169,30,
C-209-C-60,209,C,1,R_209_C,M_C_Day2_C_Spiked,422,194,60,
C-209-C-T1,209,C,2,R_209_C,M_C_Day2_C_Spiked,534,199,60,
C-209-C-T2,209,C,2,R_209_C,M_C_Day2_C_Spiked,7162,199,60,
C-210-S-5,210,C,1,R_210_C,M_S_Day2_C_Spiked,522,155,5,
C-210-S-10,210,C,1,R_210_C,M_S_Day2_C_Spiked,422,160,10,
C-210-S-15,210,C,1,R_210_C,M_S_Day2_C_Spiked,894,165,15,
C-210-S-20,210,C,1,R_210_C,M_S_Day2_C_Spiked,530,170,20,
C-210-S-30,210,C,1,R_210_C,M_S_Day2_C_Spiked,546,180,30,
C-210-S-30-T1,210,C,2,R_210_C,M_S_Day2_C_Spiked,596,185,30,
C-210-S-30-T2,210,C,2,R_210_C,M_S_Day2_C_Spiked,4162,185,30,
C-210-S-60,210,C,1,R_210_C,M_S_Day2_C_Spiked,492,210,60,
C-210-S-T1,210,C,2,R_210_C,M_S_Day2_C_Spiked,386,215,60,
C-210-S-T2,210,C,2,R_210_C,M_S_Day2_C_Spiked,10062,215,60,
C-111-S-5,111,C,1,R_111_C,M_S_Day2_C_Spiked,498,139,5,
C-111-S-10,111,C,1,R_111_C,M_S_Day2_C_Spiked,532,144,10,
C-111-S-15,111,C,1,R_111_C,M_S_Day2_C_Spiked,923,149,15,
C-111-S-20,111,C,1,R_111_C,M_S_Day2_C_Spiked,574,154,20,
C-111-S-30,111,C,1,R_111_C,M_S_Day2_C_Spiked,541,164,30,
C-111-S-30-T1,111,C,2,R_111_C,M_S_Day2_C_Spiked,507,169,30,
C-111-S-30-T2,111,C,2,R_111_C,M_S_Day2_C_Spiked,4162,169,30,
C-111-S-60,111,C,1,R_111_C,M_S_Day2_C_Spiked,595,194,60,
C-111-S-T1,111,C,2,R_111_C,M_S_Day2_C_Spiked,414,199,60,
C-111-S-T2,111,C,2,R_111_C,M_S_Day2_C_Spiked,7862,199,60,
C-112-P-5,112,C,1,R_112_C,M_P_Day2_C_Spiked,520,143,5,
C-112-P-10,112,C,1,R_112_C,M_P_Day2_C_Spiked,562,148,10,
C-112-P-15,112,C,1,R_112_C,M_P_Day2_C_Spiked,958,153,15,
C-112-P-20,112,C,1,R_112_C,M_P_Day2_C_Spiked,657,158,20,
C-112-P-30,112,C,1,R_112_C,M_P_Day2_C_Spiked,520,168,30,
C-112-P-30-T1,112,C,2,R_112_C,M_P_Day2_C_Spiked,467,173,30,
C-112-P-30-T2,112,C,2,R_112_C,M_P_Day2_C_Spiked,4862,173,30,
C-112-P-60,112,C,1,R_112_C,M_P_Day2_C_Spiked,576,198,60,
C-112-P-T1,112,C,2,R_112_C,M_P_Day2_C_Spiked,409,203,60,
C-112-P-T2,112,C,2,R_112_C,M_P_Day2_C_Spiked,9362,203,60,
C-307-C-5,307,C,1,R_307_C,M_C_Day3_C_Spiked,587,100,5,
C-307-C-10,307,C,1,R_307_C,M_C_Day3_C_Spiked,621,105,10,
C-307-C-15,307,C,1,R_307_C,M_C_Day3_C_Spiked,970,110,15,
C-307-C-20,307,C,1,R_307_C,M_C_Day3_C_Spiked,597,115,20,
C-307-C-30,307,C,1,R_307_C,M_C_Day3_C_Spiked,606,125,30,
C-307-C-30-T1,307,C,2,R_307_C,M_C_Day3_C_Spiked,361,130,30,
C-307-C-30-T2,307,C,2,R_307_C,M_C_Day3_C_Spiked,4262,130,30,
C-307-C-60,307,C,1,R_307_C,M_C_Day3_C_Spiked,549,155,60,
C-307-C-T1,307,C,2,R_307_C,M_C_Day3_C_Spiked,618,160,60,
C-307-C-T2,307,C,2,R_307_C,M_C_Day3_C_Spiked,7762,160,60,
C-308-X-5,308,C,1,R_308_C,M_X_Day3_C,555,100,5,
C-308-X-10,308,C,1,R_308_C,M_X_Day3_C,515,105,10,
C-308-X-15,308,C,1,R_308_C,M_X_Day3_C,931,110,15,
C-308-X-20,308,C,1,R_308_C,M_X_Day3_C,584,115,20,
C-308-X-30,308,C,1,R_308_C,M_X_Day3_C,511,125,30,
C-308-X-30-T1,308,C,2,R_308_C,M_X_Day3_C,325,130,30,
C-308-X-30-T2,308,C,2,R_308_C,M_X_Day3_C,3862,130,30,
C-308-X-60,308,C,1,R_308_C,M_X_Day3_C,535,155,60,
C-308-X-T1,308,C,2,R_308_C,M_X_Day3_C,585,160,60,
C-308-X-T2,308,C,2,R_308_C,M_X_Day3_C,7762,160,60,
C-407-X-5,407,C,1,R_407_C,M_X_Day3_C,479,145,5,
C-407-X-10,407,C,1,R_407_C,M_X_Day3_C,477,150,10,
C-407-X-15,407,C,1,R_407_C,M_X_Day3_C,910,155,15,
C-407-X-20,407,C,1,R_407_C,M_X_Day3_C,551,160,20,
C-407-X-30,407,C,1,R_407_C,M_X_Day3_C,532,170,30,
C-407-X-30-T1,407,C,2,R_407_C,M_X_Day3_C,308,175,30,
C-407-X-30-T2,407,C,2,R_407_C,M_X_Day3_C,1562,175,30,
C-407-X-60,407,C,1,R_407_C,M_X_Day3_C,329,200,60,
C-407-X-T1,407,C,2,R_407_C,M_X_Day3_C,371,205,60,
C-407-X-T2,407,C,2,R_407_C,M_X_Day3_C,5962,205,60,
C-408-P-5,408,C,1,R_408_C,M_P_Day3_C_Spiked,433,151,5,
C-408-P-10,408,C,1,R_408_C,M_P_Day3_C_Spiked,384,156,10,
C-408-P-15,408,C,1,R_408_C,M_P_Day3_C_Spiked,950,161,15,
C-408-P-20,408,C,1,R_408_C,M_P_Day3_C_Spiked,380,166,20,
C-408-P-30,408,C,1,R_408_C,M_P_Day3_C_Spiked,396,176,30,
C-408-P-30-T1,408,C,2,R_408_C,M_P_Day3_C_Spiked,292,181,30,
C-408-P-30-T2,408,C,2,R_408_C,M_P_Day3_C_Spiked,2962,181,30,
C-408-P-60,408,C,1,R_408_C,M_P_Day3_C_Spiked,419,206,60,
C-408-P-T1,408,C,2,R_408_C,M_P_Day3_C_Spiked,359,211,60,
C-408-P-T2,408,C,2,R_408_C,M_P_Day3_C_Spiked,8362,211,60,
C-106-P-5,106,C,1,R_106_C,M_P_Day1_C_Spiked,363,146,5,
C-106-P-10,106,C,1,R_106_C,M_P_Day1_C_Spiked,339,151,10,
C-106-P-15,106,C,1,R_106_C,M_P_Day1_C_Spiked,382,156,15,
C-106-P-20,106,C,1,R_106_C,M_P_Day1_C_Spiked,306,161,20,
C-106-P-30,106,C,1,R_106_C,M_P_Day1_C_Spiked,402,171,30,
C-106-P-30-T1,106,C,2,R_106_C,M_P_Day1_C_Spiked,278,176,30,
C-106-P-30-T2,106,C,2,R_106_C,M_P_Day1_C_Spiked,,176,30,
C-106-P-60,106,C,1,R_106_C,M_P_Day1_C_Spiked,355,201,60,
C-106-P-T1,106,C,2,R_106_C,M_P_Day1_C_Spiked,348,206,60,
C-106-P-T2,106,C,2,R_106_C,M_P_Day1_C_Spiked,8262,206,60,
C-105-X-5,105,C,1,R_105_C,M_X_Day1_C,322,93,5,
C-105-X-10,105,C,1,R_105_C,M_X_Day1_C,357,98,10,
C-105-X-15,105,C,1,R_105_C,M_X_Day1_C,760,103,15,
C-105-X-20,105,C,1,R_105_C,M_X_Day1_C,484,108,20,
C-105-X-30,105,C,1,R_105_C,M_X_Day1_C,590,118,30,
C-105-X-30-T1,105,C,2,R_105_C,M_X_Day1_C,316,123,30,
C-105-X-30-T2,105,C,2,R_105_C,M_X_Day1_C,2962,123,30,
C-105-X-60,105,C,1,R_105_C,M_X_Day1_C,573,148,60,
C-105-X-T1,105,C,2,R_105_C,M_X_Day1_C,429,153,60,
C-105-X-T2,105,C,2,R_105_C,M_X_Day1_C,9162,153,60,
C-503-C-5,503,C,1,R_503_C,M_C_Day1_C_Spiked,482,126,5,
C-503-C-10,503,C,1,R_503_C,M_C_Day1_C_Spiked,495,131,10,
C-503-C-15,503,C,1,R_503_C,M_C_Day1_C_Spiked,874,136,15,
C-503-C-20,503,C,1,R_503_C,M_C_Day1_C_Spiked,596,141,20,
C-503-C-30,503,C,1,R_503_C,M_C_Day1_C_Spiked,530,151,30,
C-503-C-30-T1,503,C,2,R_503_C,M_C_Day1_C_Spiked,367,156,30,
C-503-C-30-T2,503,C,2,R_503_C,M_C_Day1_C_Spiked,2462,156,30,
C-503-C-60,503,C,1,R_503_C,M_C_Day1_C_Spiked,544,181,60,
