SampleID,TotalPhosphorus_MgPerLiter,DetectionLevel
B-106-P-5,,ANP
B-106-P-10,,ANP
B-106-P-20,,ANP
B-106-P-30,,ANP
B-106-P-60,,ANP
B-106-P-T1,,ANP
B-105-X-5,,ANP
B-105-X-10,,ANP
B-105-X-20,,ANP
B-105-X-30,,ANP
B-105-X-60,,ANP
B-105-X-T1,,ANP
B-503-C-5,,ANP
B-503-C-10,,ANP
B-503-C-20,,ANP
B-503-C-30,,ANP
B-503-C-60,,ANP
B-503-C-T1,,ANP
B-504-X-5,,ANP
B-504-X-10,,ANP
B-504-X-20,,ANP
B-504-X-30,,ANP
B-504-X-60,,ANP
B-504-X-T1,,ANP
B-401-S-5,,ANP
B-401-S-10,,ANP
B-401-S-20,,ANP
B-401-S-30,,ANP
B-401-S-60,,ANP
B-401-S-T1,,ANP
B-402-X-5,,ANP
B-402-X-10,,ANP
B-402-X-20,,ANP
B-402-X-30,,ANP
B-402-X-60,,ANP
B-402-X-T1,,ANP
B-201-P-5,,ANP
B-201-P-10,,ANP
B-201-P-20,,ANP
B-201-P-30,,ANP
B-201-P-60,,ANP
B-201-P-T1,,ANP
B-202-S-5,,ANP
B-202-S-10,,ANP
B-202-S-20,,ANP
B-202-S-30,,ANP
B-202-S-60,,ANP
B-202-S-T1,,ANP
B-403-C-5,,ANP
B-403-C-10,,ANP
B-403-C-20,,ANP
B-403-C-30,,ANP
B-403-C-60,,ANP
B-403-C-T1,,ANP
B-404-P-5,,ANP
B-404-P-10,,ANP
B-404-P-20,,ANP
B-404-P-30,,ANP
B-404-P-60,,ANP
B-404-P-T1,,ANP
B-409-C-5,,ANP
B-409-C-10,,ANP
B-409-C-20,,ANP
B-409-C-30,,ANP
B-409-C-60,,ANP
B-409-C-T1,,ANP
B-410-S-5,,ANP
B-410-S-10,,ANP
B-410-S-20,,ANP
B-410-S-30,,ANP
B-410-S-60,,ANP
B-410-S-T1,,ANP
